1,AAPL,Apple Inc.,"3,564.74B",237.3,-1.27%,395.76B
2,NVDA,NVIDIA Corporation,"2,931.66B",120.15,-8.48%,130.50B
3,MSFT,Microsoft Corporation,"2,918.06B",392.53,-1.80%,261.80B
4,AMZN,"Amazon.com, Inc.","2,212.17B",208.74,-2.62%,637.96B
5,GOOG,Alphabet Inc.,"2,063.41B",170.21,-2.57%,350.02B
6,GOOGL,Alphabet Inc.,"2,054.02B",168.5,-2.45%,350.02B
7,META,"Meta Platforms, Inc.","1,667.76B",658.24,-2.29%,164.50B
8,BRK.B,Berkshire Hathaway Inc.,"1,083.74B",502.41,1.68%,371.43B
9,AVGO,Broadcom Inc.,927.16B,197.8,-7.11%,51.57B
10,TSLA,"Tesla, Inc.",906.90B,281.95,-3.04%,97.69B
11,LLY,Eli Lilly and Company,812.99B,905.16,-1.08%,45.04B
12,WMT,Walmart Inc.,777.55B,96.79,0.61%,680.99B
13,JPM,JPMorgan Chase & Co.,724.33B,259.05,0.10%,166.78B
14,V,Visa Inc.,694.97B,355.74,1.46%,36.80B
15,MA,Mastercard Incorporated,516.14B,564.82,0.63%,28.17B
16,XOM,Exxon Mobil Corporation,477.96B,110.15,0.63%,340.57B
17,ORCL,Oracle Corporation,460.83B,164.76,-4.47%,54.93B
18,COST,Costco Wholesale Corporation,453.54B,"1,021.71",-0.99%,258.81B
19,UNH,UnitedHealth Group Incorporated,431.21B,468.56,1.07%,400.28B
20,NFLX,"Netflix, Inc.",411.96B,963.07,-2.73%,39.00B
21,PG,The Procter & Gamble Company,403.24B,171.97,0.39%,84.35B
22,JNJ,Johnson & Johnson,394.20B,163.73,0.40%,88.82B
23,HD,"The Home Depot, Inc.",387.68B,390.27,-0.05%,159.51B
24,ABBV,AbbVie Inc.,361.93B,205.02,0.99%,56.33B
25,BAC,Bank of America Corporation,335.52B,44.12,0.41%,96.07B
26,KO,The Coca-Cola Company,304.81B,70.87,0.10%,47.06B
27,TMUS,"T-Mobile US, Inc.",301.61B,264.17,0.22%,81.40B
28,CRM,"Salesforce, Inc.",282.22B,294.9,-4.04%,37.90B
29,CVX,Chevron Corporation,275.83B,156.67,0.99%,195.57B
30,CSCO,"Cisco Systems, Inc.",253.85B,63.81,-0.42%,54.18B
31,WFC,Wells Fargo & Company,251.94B,76.62,0.22%,77.96B
32,PM,Philip Morris International Inc.,239.48B,154.02,-0.47%,37.88B
33,ABT,Abbott Laboratories,235.64B,135.87,-0.07%,41.95B
34,IBM,International Business Machines Corporation,234.81B,253.23,-1.02%,62.75B
35,MRK,"Merck & Co., Inc.",228.81B,90.58,1.34%,64.17B
36,ACN,Accenture plc,223.22B,356.87,-0.41%,66.36B
37,MCD,McDonald's Corporation,221.45B,309.95,1.87%,25.92B
38,LIN,Linde plc,217.67B,460.28,-0.28%,33.01B
39,GE,General Electric Company,216.19B,201.43,-0.09%,38.70B
40,PEP,"PepsiCo, Inc.",208.50B,152.02,0.34%,91.85B
41,MS,Morgan Stanley,208.45B,129.24,-1.38%,61.50B
42,AXP,American Express Company,206.68B,294.2,-0.64%,60.76B
43,DIS,The Walt Disney Company,201.22B,111.31,-0.46%,92.50B
44,ISRG,"Intuitive Surgical, Inc.",201.07B,563.77,-2.95%,8.35B
45,GS,"The Goldman Sachs Group, Inc.",199.03B,608,-1.58%,52.16B
46,PLTR,Palantir Technologies Inc.,198.82B,84.77,-5.08%,2.87B
47,TMO,Thermo Fisher Scientific Inc.,197.39B,523.23,-1.89%,42.88B
48,T,AT&T Inc.,193.09B,26.9,1.24%,122.34B
49,BX,Blackstone Inc.,192.20B,157.39,-1.30%,12.66B
50,ADBE,Adobe Inc.,190.31B,437.19,-0.98%,21.51B
51,NOW,"ServiceNow, Inc.",189.72B,920.96,-2.23%,10.98B
52,VZ,Verizon Communications Inc.,182.15B,43.27,0.21%,134.79B
53,TXN,Texas Instruments Incorporated,174.15B,191.3,-3.50%,15.64B
54,RTX,RTX Corporation,173.87B,130.52,2.52%,80.74B
55,QCOM,QUALCOMM Incorporated,170.72B,154.44,-4.73%,40.70B
56,INTU,Intuit Inc.,167.85B,600.42,-4.01%,17.17B
57,AMGN,Amgen Inc.,164.29B,305.82,-0.18%,33.42B
58,PGR,The Progressive Corporation,163.31B,278.77,1.95%,75.34B
59,CAT,Caterpillar Inc.,162.50B,340,-0.75%,64.81B
60,SPGI,S&P Global Inc.,161.71B,525.36,-0.73%,14.21B
61,BKNG,Booking Holdings Inc.,161.39B,"4,918.13",-2.31%,23.74B
62,AMD,"Advanced Micro Devices, Inc.",161.25B,99.51,-4.99%,25.79B
63,UBER,"Uber Technologies, Inc.",155.03B,74.21,-2.19%,43.98B
64,BSX,Boston Scientific Corporation,148.76B,100.8,-0.75%,16.75B
65,C,Citigroup Inc.,148.63B,78.87,-0.25%,71.36B
66,SYK,Stryker Corporation,148.40B,388.9,-0.72%,22.60B
67,UNP,Union Pacific Corporation,148.09B,245.07,-0.17%,24.25B
68,PFE,Pfizer Inc.,147.91B,26.1,-1.21%,63.63B
69,DHR,Danaher Corporation,147.02B,205.71,-1.78%,23.88B
70,BLK,"BlackRock, Inc.",146.70B,944.89,-0.93%,20.41B
71,NEE,"NextEra Energy, Inc.",142.72B,69.38,-2.30%,24.75B
72,SCHW,The Charles Schwab Corporation,142.18B,78.43,-0.34%,19.61B
73,GILD,"Gilead Sciences, Inc.",139.57B,111.99,1.39%,28.75B
74,TJX,"The TJX Companies, Inc.",138.82B,123.49,-1.12%,56.36B
75,HON,Honeywell International Inc.,137.96B,212.27,0.44%,38.50B
76,LOW,"Lowe's Companies, Inc.",137.48B,245.5,-0.64%,83.67B
77,CMCSA,Comcast Corporation,133.81B,35.39,0.83%,123.73B
78,DE,Deere & Company,130.88B,480.55,0.42%,47.86B
79,BA,The Boeing Company,130.39B,173.83,0.46%,66.52B
80,SBUX,Starbucks Corporation,130.05B,114.49,1.32%,36.15B
81,FI,"Fiserv, Inc.",129.98B,231.58,0.81%,20.46B
82,AMAT,"Applied Materials, Inc.",127.26B,156.64,-7.04%,27.64B
83,ADP,"Automatic Data Processing, Inc.",126.66B,311.3,-0.03%,19.90B
84,PANW,"Palo Alto Networks, Inc.",124.14B,187.5,-1.08%,8.57B
85,COP,ConocoPhillips,123.89B,97.37,1.29%,56.45B
86,VRTX,Vertex Pharmaceuticals Incorporated,121.85B,474.5,-0.96%,11.02B
87,BMY,Bristol-Myers Squibb Company,119.32B,58.8,2.47%,48.30B
88,NKE,"NIKE, Inc.",118.36B,80.02,-1.42%,48.98B
89,KKR,KKR & Co. Inc.,117.42B,132.2,-0.36%,26.57B
90,MDT,Medtronic plc,116.38B,90.74,0.18%,33.20B
91,PLD,"Prologis, Inc.",115.75B,122.77,0.50%,8.56B
92,ANET,Arista Networks Inc,115.48B,91.57,-4.99%,7.00B
93,MMC,"Marsh & McLennan Companies, Inc.",115.22B,234.61,1.32%,24.46B
94,ETN,Eaton Corporation plc,114.76B,290.38,-2.34%,24.88B
95,CB,Chubb Limited,112.87B,281.69,2.93%,56.72B
96,ADI,"Analog Devices, Inc.",111.02B,223.85,-4.23%,9.34B
97,LMT,Lockheed Martin Corporation,105.09B,446.46,1.12%,71.04B
98,MU,"Micron Technology, Inc.",102.30B,91.82,-6.03%,29.09B
99,UPS,"United Parcel Service, Inc.",100.48B,117.63,0.63%,91.07B
100,INTC,Intel Corporation,99.98B,23.09,-1.83%,53.10B
101,ICE,"Intercontinental Exchange, Inc.",98.16B,170.84,-0.19%,9.28B
102,LRCX,Lam Research Corporation,97.78B,76.17,-6.31%,16.21B
103,WELL,Welltower Inc.,97.17B,151.52,0.58%,7.99B
104,SO,The Southern Company,96.84B,88.29,-0.52%,26.72B
105,AMT,American Tower Corporation,95.35B,203.97,1.61%,10.13B
